path,language,soft_score,normalized,whisper_hyp,cer,cer_reject_reason
data\audios\hindi\train-00003-of-00064\0250305a-5524-43ed-9bbc-d9e264f1ca25_1_chunk_13.flac,hindi,0.5423,हाँ-हाँ सब कुछ <tapping> है स्विमिंग [swimming] पूल [pool] है गार्डन [garden] है ,आज अपने बुले राइड है,0.875,CER=0.8750 > 0.7
data\audios\hindi\train-00001-of-00064\5348024557874025_chunk_5.flac,hindi,0.5254,अच्छे से पेंसिल [pencil] से उसको सेट कर लेना चाहिए <inhaling> उसके बाद फ़िर हमें पेंट [paint] और ब्रश [brush] और साथ में पानी भी लेकर बैठना चाहिए जिससे कि <inhaling> हम एक पेंट [paint] यूज़ [use] करने के बाद दूसरा पेंट [paint] <uhh> ब्रश [brush] धुलकर फ़िर दूसरे पेंट [paint] को यूज़ [use] करें <inhaling> जितनी अच्छी सफ़ाई होगी उतना ही अच्छा पेंटिंग [painting] आपका बनेगा,सब्सक्राइब उसके बाद फिर पेंट और ब्रॉश और शाद में पानी भी ले हुआ है उस é or धूम इसे फिर दूसरे सब्सक्राइब इस सभी होगी उतना क्या पेंटिंग आपका भनेगा आ का,0.7132,CER=0.7132 > 0.7
data\audios\hindi\train-00000-of-00064\ef3c56d2-acc9-41c7-8cf7-a0f53c040497_1_chunk_3.flac,hindi,0.5148,ऑटो [Auto] वाले ,अक्टुअलिख,1.0,CER=1.0000 > 0.7
data\audios\tamil\train-00001-of-00078\61a1f143-094d-476b-ad43-7cb726033d02_1_chunk_14.flac,tamil,0.6747,ம்,,1.0,CER=1.0000 > 0.7
data\audios\tamil\train-00003-of-00078\3096224744215695_chunk_17.flac,tamil,0.5007,ஈஸியாக கிடைக்கிறதுக்கு ஒரு வாய்ப்பாக இருக்குது அதேப்போல் பத பார்த்தீங்கன்னா [breathing] முதல எல்லாமே ஆங்கிலத்தில் தான் இருந்துச்சு மொபைல் [mobile] ஃபோனில் எல்லாம் [breathing] ஆப்ஷனுமே வந்து ,கடைக்கும் வாய்ப்பையில் இருக்கும்,0.879,CER=0.8790 > 0.7
data\audios\kannada\train-00000-of-00073\ac5a66da-b8fd-40fc-b002-6199d871b71c_1_chunk_9.flac,kannada,0.8198,ಹಾಂ,ಹಾಗಿದ್ಧಿವರಿದ್ದರಾಗಿದಹೆ.,11.0,CER=11.0000 > 0.7
data\audios\telugu\train-00005-of-00056\099fb916-1f04-4010-93f1-b969574b30b9_1_chunk_43.flac,telugu,0.6675,<Persistent-noise-start> మరి మీరు ఇంట్లో మాట్లాడి <Persistent-noise-end>,2. మారీ మియా వింట్ లో మార్ రారి,0.8148,CER=0.8148 > 0.7
data\audios\telugu\train-00000-of-00056\66429a0a-0e6c-466d-8412-a8113ea663bc_1_chunk_10.flac,telugu,0.6243,[Persistent-noise-start] [uhh] బాటిల్ [battle] ఇంకా గ్లాసెస్ [glasses] త్రీ [three] గ్లాసెస్ [glasses] పెట్టండి [talking] [Persistent-noise-end],3 గ్లాసేస్ పెట్టాన్ని,0.9143,CER=0.9143 > 0.7
data\audios\malayalam\train-00000-of-00088\c73d6773-7700-47ec-a45b-cb4375f337e3_1_chunk_16.flac,malayalam,0.7323,<noise> പിന്നെ,,1.0,CER=1.0000 > 0.7
data\audios\malayalam\train-00005-of-00088\2814749767400325_chunk_27.flac,malayalam,0.5738,<Persistent-noise-start> അത്കൊണ്ട് ഞാന്‍ എൻ്റെ അടുത്ത്‌  പഠിക്കുന്ന  പിള്ളേരോട്‌ എപ്പോഴും  പറയും എൻ്റെ അടുത്ത്‌  <inhaling> തയിക്കാൻ  വരുന്നവരോടും  ഞാന്‍ പറയും <Persistent-noise-end>,I always tell my students and those who come to my Thai camp.,0.8644,CER=0.8644 > 0.7
